"icao","airport"
"SAVT","Almirante Marcos A. Zar Airport"
"SAOD","Villa Dolores Airport"
"SARM","Monte Caseros Airport"
"SAVH","Las Heras Airport"
"SAMM","Comodoro D. Ricardo Salomon Airport"
"SAZB","Comandante Espora Airport"
"SAZM","Astor Piazzolla International Airport"
"","Loncopue Airport"
"SACC","La Cumbre Airport"
"SARE","Resistencia International Airport"
"SAZN","Presidente Peron International Air"
"SATM","Mercedes Airport"
"","Caviahue Airport"
"","Caleta Olivia Airport"
"SAVV","Gobernador Edgardo Castello Airport"
"SAWE","Hermes Quijada International Airport"
"SAWG","Piloto Civil Norberto Fernandez International Airport"
"SAVE","Esquel Airport"
"SAME","Gov. Francisco Gabrielli International Airport (El Plumerillo)"
"SANR","Termas de Rio Hondo Airport"
"SARL","Paso de los Libres Airport"
"SARI","Cataratas del Iguazu International Airport"
"","Charata Airport"
"","Colonia Catriel Airport"
"","Valcheta Airport"
"SAVJ","Ingeniero Jacobacci Airport (Capitan FAA H. R. Borden Airport)"
"SAZO","Necochea Airport"
"SABE","Aeroparque Internacional Jorge Newbery"
"SAEZ","Ministro Pistarini International Airport"
"NSTU","Pago Pago International Airport"
"","Tau Airport"
"NSAS","Ofu Airport"
"LOWL","Linz Airport (Blue Danube Airport)"
"LOWS","Salzburg Airport"
"LOWK","Klagenfurt Airport"
"LOWG","Graz Airport"
"LOWI","Innsbruck Airport (Kranebitten Airport)"
"LOWW","Vienna International Airport"
"LOIH","Hohenems-Dornbirn Airport"
"YTMO","The Monument Airport"
"","Cherrabun Airport"
"YMNS","Mount Swan Airport"
"YARY","Arrabury Airport"
"YTAM","Taroom Airport"
"YMWA","Mullewa Airport"
"YCDU","Ceduna Airport"
"YRSB","Roseberth Airport"
"YHBA","Hervey Bay Airport"
"","Robinson River Airport (Northern Territory)"
"YMRE","Marree Airport"
"YCIN","RAAF Base Curtin"
"","Roper Valley Airport"
"YTGM","Thargomindah Airport"
"YHAW","Wilpena Pound Airport"
"YMWX","Marion Downs Airport"
"YNGU","Ngukurr Airport"
