"icao","airport"
"","Diavik Airport"
"","Gahcho Kue Aerodrome"
"","Duncan Airport"
"CYNM","Matagami Airport"
"CYNL","Points North Landing Airport"
"CYNH","Hudson's Hope Airport"
"CYNE","Norway House Airport"
"CYND","Gatineau-Ottawa Executive Airport"
"CYNC","Wemindji Airport"
"CYNA","Natashquan Airport"
"CYMW","Maniwaki Airport"
"","Mary River Aerodrome"
"","Mansons Landing Water Aerodrome"
"CYMT","Chibougamau/Chapais Airport"
"","Port McNeill Airport"
"CYMO","Moosonee Airport"
"","Hope Bay Aerodrome"
"CYFT","Makkovik Airport"
"CYMM","Fort McMurray International Airport"
"CYML","Charlevoix Airport"
"CYMJ","CFB Moose Jaw (C.M. McEwen Airport)"
"CYMH","Mary's Harbour Airport"
"CYMG","Manitouwadge Airport"
"","Montague Harbour Water Aerodrome"
"","Wunnummin Lake Airport"
"CYME","Matane Airport"
"CYMD","Mould Bay Airport"
"","Merritt Airport"
"CYMA","Mayo Airport"
"CYNJ","Langley Regional Airport"
"CYLW","Kelowna International Airport"
"CZPC","Pincher Creek Airport"
"CYLT","Alert Airport"
"","Lebel-sur-Quevillon Airport"
"","Powell Lake Water Aerodrome"
"CYLR","Leaf Rapids Airport"
"CYLQ","La Tuque Airport"
"CYLP","Mingan Airport"
"","La Sarre Airport"
"","Clinton Creek Airport"
"CYLL","Lloydminster Airport"
"","Chilko Lake (Tsylos Park Lodge) Aerodrome"
"CYLS","Lake Simcoe Regional Airport"
"CYLJ","Meadow Lake Airport"
"CYLH","Lansdowne House Airport"
"","Whati Airport"
"CYLD","Chapleau Airport"
"CYLC","Kimmirut Airport"
"CYLB","Lac La Biche Airport"
"CYKY","Kindersley Regional Airport"
"CYKX","Kirkland Lake Airport"
"","Chisasibi Airport"
"","Klemtu Water Aerodrome"
"CYKQ","Waskaganish Airport"
"CYKL","Schefferville Airport"
"","Kitkatla Water Aerodrome"
"CYZS","Coral Harbour Airport"
"CYKJ","Key Lake Airport"
"CYAS","Kangirsuk Airport"
"","Knee Lake Airport"
"CYKM","Kincardine Municipal Airport"
"CYYT","St. John's International Airport"
"CYHM","John C. Munro Hamilton International Airport"
"YPCC","Cocos (Keeling) Islands Airport"
"FZAA","N'djili Airport"
"FZBA","Inongo Airport"
"FZEN","Basankusu Airport"
"FZQG","Kasenga Airport"
"FZQM","Kolwezi Airport"
"FZVR","Basongo Airport"
"FZNA","Goma International Airport"
"FZKJ","Buta Zega Airport"
"FZGA","Lisala Airport"
"FZVS","Ilebo Airport"
"FZAL","Luozi Airport"
"FZFA","Libenge Airport"
"FZVA","Lodja Airport"
"FZIC","Bangoka International Airport"
"FZUA","Kananga Airport"
"FZGV","Ikela Airport"
"FZCE","Lusanga Airport"
"FZAR","Nkolo-Fuma Airport"
"FZCV","Masi-Manimba Airport"
"FZJH","Matari Airport"
"FZIR","Yangambi Airport"
"FZVI","Lusambo Airport"
"FZOP","Punia Airport"
"FZQC","Pweto Airport"
"FZCB","Idiofa Airport"
"FZAA","N'djili Airport (Kinshasa Int'l Airport)"
"FZUG","Luiza Airport"
"FZBO","Bandundu Airport"
"FZWA","Mbuji Mayi Airport"
"FZEA","Mbandaka Airport"
"FZFU","Bumba Airport"
"FZKA","Bunia Airport"
"FZOA","Kindu Airport"
"FZRM","Kabalo Airport"
"FZRB","Moba Airport"
"FZUK","Tshikapa Airport"
"FZOD","Kamisuku Airport"
"FZFD","Gbadolite Airport"
"FZAB","N'Dolo Airport"
"FZFP","Kotakoli Air Base"
"FZGN","Boende Airport"
"FZNP","Beni Airport"
"FZTK","Kaniama Airport"
"FZAJ","Boma Airport"
"FZQA","Lubumbashi International Airport"
"FZCA","Kikwit Airport"
"","Butembo Airport"
"FZWT","Tunta Airport"
"FZFK","Gemena Airport"
"FZRF","Kalemie Airport"
"FZMA","Kavumu Airport"
"FZSK","Kapanga Airport"
"FZRQ","Kongolo Airport"
"FZRA","Manono Airport"
"FZAM","Matadi Tshimpi Airport"
"","Kilwa Airport"
"FZAG","Muanda Airport (Moanda Airport)"
"FZBT","Basango Mboliasa Airport"
"FZVM","Mweka Airport"
"FZWC","Gandajika Airport"
"FZOK","Kasongo Lunda Airport"
"FZBI","Nioki Airport"
"FEFW","Ouadda Airport"
"FEFZ","Zemio Airport"
"","Gordil Airport"
"FEFF","Bangui M'Poko International Airport"
"FEGR","Rafai Airport"
"FEFT","Berberati Airport"
"FEFY","Yalinga Airport"
"FEGM","Bakouma Airport"
"FEGE","M'Boki Airport"
"FEFO","Bouar Airport"
"FEGU","Bouca Airport"
"FEGF","Batangafo Airport"
"FEFC","Carnot Airport"
"FEFN","N'Dele Airport"
"","Kavadja Airport"
"FEGZ","Bozoum Airport"
"FEFR","Bria Airport"
"FEFS","Bossangoa Airport"
"FEFI","Birao Airport"
"","Koumala Airport"
"FEFG","Bangassou Airport"
"FEGO","Ouanda Djalle Airport"
"FEFM","Bambari Airport"
"","Gounda Airport"
"FCOM","Makoua Airport"
"FCOS","Souanke Airport"
"FCBD","Djambala Airport"
"FCBL","Lague Airport"
"FCPL","Dolisie Airport"
"","Lekana Airport"
"FCBB","Maya-Maya Airport"
"FCBM","Mouyondzi Airport"
"FCOE","Ewo Airport"
"FCPP","Pointe Noire Airport"
"FCMM","Mossendjo Airport"
"FCBZ","Zanaga Airport"
"FCBS","Sibiti Airport"
"FCOG","Gamboma Airport"
"FCOI","Impfondo Airport"
"","Epena Airport"
"FCBY","Yokangassi Airport"
"FCOU","Ouesso Airport"
"FCPA","Makabana Airport"
"FCBK","Kindamba Airport"
"FCOB","Boundji Airport"
"","Oyo Ollombo Airport"
"","Okoyo Airport"
"FCOT","Betou Airport"
"FCOO","Owando Airport"
"FCOK","Kelle Airport"
"FCBB","Maya–Maya Airport"
"LSME","Emmen Air Base"
"LSZS","Samedan Airport (Engadin Airport)"
"LSZA","Lugano Airport"
"LSZR","St. Gallen-Altenrhein Airport"
"LSGS","Sion Airport"
"LSZH","Zurich Airport"
"LSGG","Geneva Airport"
"LSZB","Bern Airport"
"LSZC","Buochs Airport"
"DIOF","Ouango Fitini Airport"
"DIAP","Port Bouet Airport (Felix Houphouet Boigny Int'l)"
"DIBI","Boundiali Airport"
"DIDL","Daloa Airport"
"DIDV","Divo Airport"
"DISS","Sassandra Airport"
"DIFK","Ferkessedougou Airport"
"DITB","Tabou Airport"
"DIMN","Man Airport"
"","Katiola Airport"
"DIDK","Dimbokro Airport"
"DISP","San Pedro Airport"
"DIBK","Bouake Airport"
"DISG","Seguela Airport"
"DIAU","Abengourou Airport"
"DIGA","Gagnoa Airport"
"DIOD","Odienne Airport"
"DIAO","Aboisso Airport"
"DIBU","Soko Airport"
"DIBN","Tehini Airport"
"DIGN","Nero-Mer Airport"
"DIYO","Yamoussoukro Airport"
"DIGL","Guiglo Airport"
"DITM","Mahana Airport"
"DIKO","Korhogo Airport"
"DIYO","Yamoussoukro International Airport"
"NCPK","Pukapuka Island Airfield"
"NCAT","Enua Airport"
"NCAI","Aitutaki Airport"
"NCMK","Mauke Airport"
"NCMH","Manihiki Island Airport"
"NCPY","Tongareva Airport"
"NCMG","Mangaia Airport"
"NCMR","Mitiaro Airport (Nukuroa Airport)"
"NCRG","Rarotonga International Airport"
"SCGZ","Guardiamarina Zanartu Airport"
"SCCF","El Loa Airport"
"SCST","Gamboa Airport"
"SCTN","Chaiten Airfield"
"SCPV","El Mirador Airport"
"SCTC","Maquehue Airport"
"SCRD","Rodelillo Airfield"
"SCPC","Pucon Airport"
"SCBA","Balmaceda Airport"
"SCAT","Desierto de Atacama Airport"
"SCJO","Canal Bajo Carlos Hott Siebert Airport"
"SCCY","Teniente Vidal Airfield"
"SCQB","Coquimbo Airport"
"SCLL","Vallenar Airport"
"SCTO","Victoria Airport"
"SCAN","San Rafael Airport"
"SCSE","La Florida Airport"
"SCPQ","Mocopulli Airport"
"SCTT","Las Breas Airport"
"SCGE","Maria Dolores Airport"
"SCHR","Cochrane Airfield"
"SCCH","General Bernardo O'Higgins Airport"
"SCFI","Frutillar Airport"
"SCFT","Futaleufu Airfield"
"SCVM","Vina del Mar Airport"
"SCCC","Chile Chico Airfield"
"SCNT","Teniente Julio Gallardo Airport"
"SCRA","Chanaral Airport"
"SCAP","Alto Palena Airfield"
"SCQP","La Araucania Airport"
"SCVD","Pichoy Airport"
"SCDA","Diego Aracena International Airport"
"SCTL","Panguilemo Airport"
"SCEL","Comodoro Arturo Merino Benitez International Airport"
"SCAC","Pupelde Airfield"
"SCFA","Cerro Moreno International Airport"
"SCSB","Franco Bianco Airport"
"SCTE","El Tepual Airport"
"SCBE","Barriles Airport"
"SCAR","Chacalluta International Airport"
"SCIP","Mataveri International Airport (Isla de Pascua Airport)"
"SCAS","Cabo Juan Roman Airfield"
"SCOV","El Tuqui Airport"
"SCES","Ricardo Garcia Posada Airport"
"SCCI","Presidente Carlos Ibanez del Campo International Airport"
"SCIE","Carriel Sur International Airport"
"SCFM","Capitan Fuentes Martinez Airport"
"SCKP","Coposa Airport"
"SCEL","Arturo Merino Benítez International Airport"
"FKKS","Dschang Airport"
"FKKB","Kribi Airport"
"FKKC","Tiko Airport"
"FKKD","Douala International Airport"
"FKKG","Bali Airport"
"FKKM","Foumban Nkounja Airport"
"FKAN","Nkongsamba Airport"
"FKKY","Yaounde Airport"
"FKKH","Kaele Airport"
"FKKF","Mamfe Airport"
"FKKO","Bertoua Airport"
"FKKU","Bafoussam Airport"
"FKKL","Salak Airport"
"FKKW","Ebolowa Airport"
"FKKN","Ngaoundere Airport"
"FKKJ","Yagoua Airport"
"FKKV","Bamenda Airport"
"FKKR","Garoua International Airport"
"FKKI","Batouri Airport"
"FKYS","Yaounde Nsimalen International Airport"
"ZUTF","Chengdu Tianfu International Airport"
"ZHAY","Anyang Airport"
"ZWKN","Kanas Airport"
"ZUMT","Zunyi Maotai Airport"
"ZPPP","Kunming Changshui International Airport"
"ZYSQ","Songyuan Chaganhu Airport"
"","Ulanqab Airport"
"ZSGZ","Ganzhou Huangjin Airport"
"ZWTP","Turpan Jiaohe Airport"
"ZWKL","Korla Airport"
"ZGMX","Meixian Airport"
"ZWKM","Karamay Airport"
"ZWAT","Altay Airport"
"ZYMH","Mohe Gulian Airport"
"ZBER","Erenhot Saiwusu International Airport"
"ZUGY","Guiyang Longdongbao International Airport"
"ZGKL","Guilin Liangjiang International Airport"
"","Zhalantun Chengjisihan Airport"
"ZBMZ","Manzhouli Xijiao Airport"
"ZSNT","Nantong Xingdong Airport"
"ZSFY","Fuyang Xiguan Airport"
"ZGFS","Foshan Shadi Airport"
"ZSLO","Longyan Guanzhishan Airport"
"ZYLD","Yichun Lindu Airport"
"ZHNY","Nanyang Jiangying Airport"
"ZGNN","Nanning Wuxu International Airport"
"ZYFY","Fuyuan Dongji Airport"
"ZWNL","Xinyuan Nalati Airport"
"ZWFY","Fuyun Koktokay Airport"
"","Qionghai Bo'ao Airport"
"ZLTS","Tianshui Maijishan Airport"
"ZBOW","Baotou Airport"
"","Linfen Qiaoli Airport"
"","Ninglang Luguhu Airport"
"ZSNJ","Nanjing Lukou International Airport"
"ZHGH","Laohekou Airport"
"ZLLL","Lanzhou Zhongchuan International Airport"
"ZULP","Liangping Airport"
"ZUAL","Ngari Gunsa Airport"
"ZUYI","Xingyi Wanfenglin Airport"
"ZSNB","Ningbo Lishe International Airport"
"ZPJM","Lancang Jingmai Airport"
"ZPLJ","Lijiang Sanyi Airport"
"ZYQQ","Qiqihar Sanjiazi Airport"
"ZULB","Libo Airport (Qiannan Airport)"
"ZGLG","Yongzhou Lingling Airport"
"ZBTL","Tongliao Airport"
"ZBLL","Luliang Airport"
"ZYBS","Changbaishan Airport"
"ZUNC","Nanchong Gaoping Airport"
"ZPLC","Lincang Airport"
"ZLLN","Longnan Chengzhou Airport"
"ZUPS","Liupanshui Yuezhao Airport"
"ZPCW","Cangyuan Washan Airport"
"","Bazhong Enyang Airport"
"","Ar Horqin Airport"
"ZGBS","Baise Bama Airport"
"ZUBJ","Bijie Feixiong Airport"
"ZUZY","Zunyi Xinzhou Airport"
"ZGSD","Zhuhai Jinwan Airport (Zhuhai Sanzao Airport)"
"ZSBB","Bengbu Airport"
"ZBZJ","Zhangjiakou Ningyuan Airport"
"ZGBH","Beihai Fucheng Airport"
"ZLZW","Zhongwei Shapotou Airport (Zhongwei Xiangshan Airport)"
"ZGZJ","Zhanjiang Airport"
"ZPZT","Zhaotong Airport"
"ZLZY","Zhangye Ganzhou Airport"
"ZBDH","Qinhuangdao Beidaihe Airport"
"ZWBL","Bole Alashankou Airport"
"ZUBD","Qamdo Bamda Airport"
"ZPBS","Baoshan Yunduan Airport"
"ZLYS","Yushu Batang Airport"
"ZPYM","Yuanmou Air Base"
"ZSYA","Yangzhou Taizhou Airport"
"ZGGG","Guangzhou Baiyun International Airport"
"ZBCD","Chengde Puning Airport"
"ZSYN","Yancheng Nanyang International Airport"
"ZGCD","Changde Taohuayuan Airport"
"ZSYT","Yantai Penglai International Airport"
"ZHCC","Zhengzhou Xinzheng International Airport"
"ZYCC","Changchun Longjia International Airport"
"ZYYJ","Yanji Chaoyangchuan Airport"
"ZYCY","Chaoyang Airport"
"ZPMS","Dehong Mangshi Airport"
"ZBCF","Chifeng Yulong Airport"
"ZBCZ","Changzhi Wangcun Airport"
"ZYYL","Yilan Airport"
"ZUCK","Chongqing Jiangbei International Airport"
"ZYYK","Yingkou Lanqi Airport"
"ZSYW","Yiwu Airport"
"ZWYN","Yining Airport"
"ZHYC","Yichang Sanxia Airport"
"ZUHY","Hongyuan Airport"
"ZBES","Arxan Yi'ershi Airport"
"ZSYC","Yichun Mingyueshan Airport"
"ZYCH","Changhai Airport"
"ZGHA","Changsha Huanghua International Airport"
"ZUUU","Chengdu Shuangliu International Airport"
"ZBYC","Yuncheng Guangong Airport"
"ZUYB","Yibin Caiba Airport"
"ZSCG","Changzhou Benniu Airport"
"ZBDT","Datong Yungang Airport"
"ZUDX","Dazhou Heshi Airport"
"","Baicheng Chang'an Airport"
"ZSXZ","Xuzhou Guanyin Airport"
"ZUDC","Daocheng Yading Airport"
"ZYDD","Dandong Langtou Airport"
"ZBXT","Xingtai Dalian Airport"
"ZLXN","Xining Caojiabao Airport"
"ZSAM","Xiamen Gaoqi International Airport"
"ZLXY","Xi'an Xianyang International Airport"
"ZLAK","Ankang Wulipu Airport"
"ZPDQ","Diqing Shangri-La Airport"
"ZGXN","Xingning Air Base"
"ZBXH","Xilinhot Airport"
"ZULS","Lhasa Gonggar Airport"
"ZUXC","Xichang Qingshan Airport"
"ZHXF","Xiangyang Liuji Airport"
"ZYTL","Dalian Zhoushuizi International Airport"
"ZYXC","Xingcheng Airport"
"ZPDL","Dali Airport"
"ZHLY","Luoyang Beijiao Airport"
"ZLDH","Dunhuang Airport"
"","Urad Middle Banner Airport"
"ZUWX","Wanzhou Wuqiao Airport"
"ZWAK","Aksu Airport"
"ZGWZ","Wuzhou Xijiang Airport"
"ZSLG","Lianyungang Baitabu Airport"
"ZSLY","Linyi Shubuling Airport"
"ZSWX","Sunan Shuofang International Airport"
"ZBXZ","Xinzhou Wutaishan Airport"
"ZSWY","Wuyishan Airport"
"ZHHH","Wuhan Tianhe International Airport"
"ZBUH","Wuhai Airport"
"ZSDY","Dongying Shengli Airport"
"ZYDQ","Daqing Sartu Airport"
"ZSWZ","Wenzhou Longwan International Airport"
"ZBDS","Ordos Ejin Horo Airport"
"ZPWS","Wenshan Puzhehei Airport"
"","Wudalianchi Airport"
"ZGZH","Liuzhou Bailian Airport"
"ZULZ","Luzhou Yunlong Airport"
"ZSWA","Wuhu Airport"
"ZGSY","Shaoyang Wugang Airport"
"ZUNZ","Nyingchi Mainling Airport"
"ZSWH","Weihai Dashuibo Airport"
"ZSWF","Weifang Airport"
"ZGDY","Zhangjiajie Hehua Airport"
"ZHSY","Shiyan Wudangshan Airport"
"ZUDZ","Dazu Air Base"
"ZUTR","Tongren Fenghuang Airport"
"ZUTC","Tengchong Tuofeng Airport"
"ZWTC","Tacheng Airport"
"ZHES","Enshi Xujiaping Airport"
"ZUGH","Guanghan Airport"
"ZSQD","Qingdao Liuting International Airport"
"ZBYN","Taiyuan Wusu International Airport"
"ZGSZ","Shenzhen Bao'an International Airport"
"ZSSZ","Suzhou Guangfu Airport"
"ZJSY","Sanya Phoenix International Airport"
"ZPSM","Pu'er Simao Airport"
"ZLGL","Golog Maqin Airport"
"ZWSS","Shanshan Airport"
"ZYAS","Anshan Teng'ao Airport"
"ZSTX","Huangshan Tunxi International Airport"
"ZGOW","Jieyang Chaoshan International Airport"
"ZLGM","Golmud Airport"
"ZBTS","Tangshan Sannuhe Airport"
"","Sanming Shaxian Airport"
"ZSSR","Shangrao Sanqingshan Airport"
"ZLYL","Yulin Yuyang Airport"
"ZLXH","Gannan Xiahe Airport"
"ZWWW","Urumqi Diwopu International Airport"
"ZUGU","Guangyuan Panlong Airport"
"ZLGY","Guyuan Liupanshan Airport"
"ZJHK","Haikou Meilan International Airport"
"ZGHC","Hechi Jinchengjiang Airport"
"ZBHD","Handan Airport"
"ZYHE","Heihe Airport"
"ZBHH","Hohhot Baita International Airport"
"ZSAQ","Anqing Tianzhushan Airport"
"ZSOF","Hefei Xinqiao International Airport"
"ZSHC","Hangzhou Xiaoshan International Airport"
"ZBSJ","Shijiazhuang Zhengding International Airport"
"ZSSH","Huai'an Lianshui Airport"
"ZGCJ","Huaihua Zhijiang Airport"
"ZLSN","Xi'an Xiguan Airport"
"ZHSS","Shashi Airport"
"ZBLA","Hulunbuir Hailar Airport"
"ZBUL","Ulanhot Airport"
"ZWHZ","Shihezi Huayuan Airport"
"ZYTX","Shenyang Taoxian International Airport"
"ZBTJ","Tianjin Binhai International Airport"
"ZSSS","Shanghai Hongqiao International Airport"
"ZWHM","Hami Airport (Kumul Airport)"
"ZGHY","Hengyang Nanyue Airport"
"ZHSN","Shennongjia Hongping Airport"
"ZYHB","Harbin Taiping International Airport"
"","Shaoguan Guitou Airport"
"","Zhengzhou Shangjie Airport"
"ZSZS","Zhoushan Putuoshan Airport"
"ZWTN","Hotan Airport"
"","Huatugou Airport"
"ZSRG","Rugao Air Base"
"ZBHZ","Holingol Huolinhe Airport"
"ZGHZ","Huizhou Pingtan Airport"
"ZWRQ","Ruoqiang Loulan Airport"
"ZLDL","Delingha Airport"
"ZLYA","Yan'an Ershilipu Airport"
"ZSLQ","Taizhou Luqiao Airport"
"ZLHZ","Hanzhong Chenggu Airport"
"ZUNP","Liping Airport"
"ZYMD","Mudanjiang Hailang Airport"
"ZBYZ","Bayannur Tianjitai Airport"
"ZURK","Shigatse Peace Airport"
"","Rizhao Shanzihe Airport"
"","Alxa Right Banner Badanjilin Airport"
"","Ejin Banner Taolai Airport"
"ZLIC","Yinchuan Hedong International Airport"
"ZWCM","Qiemo Airport"
"ZLQY","Qingyang Airport"
"","Shache Airport"
"ZUZH","Panzhihua Bao'anying Airport"
"ZSPD","Shanghai Pudong International Airport"
"ZSJD","Jingdezhen Luojia Airport"
"ZYJD","Jiagedaqi Airport"
"ZLJQ","Jiayuguan Airport"
"ZSJA","Jinggangshan Airport"
"ZUAS","Anshun Huangguoshu Airport"
"ZPJH","Xishuangbanna Gasa Airport"
"ZLJC","Jinchang Jinchuan Airport"
"ZUMY","Mianyang Nanjiao Airport"
"ZYJL","Jilin Ertaizi Airport"
"ZUQJ","Qianjiang Wulingshan Airport"
"ZSJJ","Jiujiang Lushan Airport"
"ZSQZ","Quanzhou Jinjiang International Airport"
"ZYJM","Jiamusi Dongjiao Airport"
"ZLJN","Jining Qufu Airport"
"ZYJZ","Jinzhou Bay Airport"
"ZYJS","Jiansanjiang Airport"
"","Chizhou Jiuhuashan Airport"
"","Alxa Left Banner Bayanhot Airport"
"ZSJU","Quzhou Airport"
"ZYJX","Jixi Xingkaihu Airport"
"ZUJZ","Jiuzhai Huanglong Airport"
"","Penglai Shahekou Airport"
"ZYTN","Tonghua Sanyuanpu Airport"
"ZWKC","Kuqa Qiuci Airport"
"ZSJN","Jinan Yaoqiang International Airport"
"ZUKD","Kangding Airport"
"ZSFZ","Fuzhou Changle International Airport"
"ZWSH","Kashgar Airport (Kashi Airport)"
"ZSCN","Nanchang Changbei International Airport"
"","Kaili Huangping Airport"
"ZUWL","Chongqing Xiannyushan Airport"
"ZUDA","Dazhou Jinya Airport"
"ZHEC","Ezhou Huahu Airport"
"ZLHB","Haibei Qilian Airport"
"ZGCZ","Chenzhou Beihu Airport"
"ZSHZ","Heze Mudan Airport"
"ZSWA","Wuhu Xuanzhou Airport"
"ZUWS","Chongqing Wushan Airport"
"ZHXY","Xinyang Minggang Airport"
"ZGYY","Yueyang Sanhe Airport"
"ZBAA","Beijing Capital International Airport"
"SKAG","Hacaritama Airport"
"","Mosquera Airport"
"","Gamarra Airport"
"","Santana Ramos Airport"
"SKIG","Jaime Ortiz Betancur Airport"
"","Puerto Rico Airport"
"SKBS","Jose Celestino Mutis Airport"
"","San Juan del Cesar Airport"
"","Codazzi Airport"
"","Pore Airport"
"","Monfort Airport"
"","San Pedro de Jagua Airport"
"SKTM","Gabriel Vargas Santos Airport"
"","Medina Airport"
"","Ayapel Airport"
"","Monterrey Airport"
"SKLG","Caucaya Airport"
"","Unguia Airport"
"","Ayacucho Airport"
"","Mulatos Airport"
"SKYA","Yaguara Airport"
"","San Juan de Uraba Airport"
"SKHA","General Navas Pardo Airport"
"","Yavarate Airport"
"SKMB","Timbiqui Airport"
"","Santa Maria Airport"
"SKSO","Alberto Lleras Camargo Airport"
"","San Pedro de Uraba Airport"
"SKMF","Miraflores Airport"
"","Planadas Airport"
"SKPL","Plato Airport"
"","Planeta Rica Airport"
"SKMG","Baracoa Regional Airport"
"SKTA","Tauramena Airport"
"SKGP","Guapi Airport (Juan Casiano Airport)"
"","Santa Catalina Airport"
"SKPE","Matecana International Airport"
"","Nunchia Airport"
"SKBG","Palonegro International Airport"
"","Santa Ana Airport"
"SKCV","Covenas Airport"
"","Payan Airport"
"","Lorica Airport"
"","Macanal Airport"
"","Acaricuara Airport"
"SCSF","San Felipe Airport"
"","Lopez de Micay Airport"
"SKYP","El Alcaravan Airport"
"SKJU","Jurado Airport"
"","Arboletes Airport"
"SKAD","Alcides Fernandez Airport"
"SKCR","Caruru Airport"
"","Aguaclara Airport"
"","Arica Airport (Colombia)"
"SKMU","Fabio Alberto Leon Bentley Airport"
"SKNV","Benito Salas Airport"
"SKAC","Araracuara Airport"
"","Curillo Airport"
"SVWX","El Recreo Airport"
"SKAT","El Troncal Airport"
"SKUB","Uribe Airport"
"","Tablon de Tamara Airport"
"","Iscuande Airport"
"SKLM","Jorge Isaacs Airport (La Mina Airport)"
"SKTU","Gonzalo Mejia Airport"
"SKVL","Velasquez Airport"
"","El Encanto Airport"
"SKCU","Juan H. White Airport"
"SKAN","Andes Airport"
"","Zapatoca Airport"
"SKCP","Bahia Cupica Airport"
"","Barranca de Upia Airport"
"SKEH","El Charco Airport"
"SKPS","Antonio Narino Airport"
"SKSP","Gustavo Rojas Pinilla International Airport"
"SKVG","Villa Garzon Airport"
"SKTQ","Captain Ernesto Esguerra Cubides Air Base"
"SKPD","Obando Airport"
"","Caquetania Airport"
"SKCZ","Las Brujas Airport"
"SKPZ","Paz de Ariporo Airport"
"SKBO","El Dorado International Airport"
"","San Luis de Palenque Airport"
"SKSV","Eduardo Falla Solano Airport"
"SKGI","Santiago Vila Airport"
"SKBQ","Ernesto Cortissoz International Airport"
"SKOC","Aguas Claras Airport"
"SKAM","Amalfi Airport (Colombia)"
"SKEJ","Yariguies Airport"
"SKBU","Gerardo Tobar Lopez Airport"
"SKMR","Los Garzones Airport"
"SKGO","Santa Ana Airport"
"","Morichal Airport"
"SKRG","Jose Maria Cordova International Airport"
"SKCD","Mandinga Airport"
"SKSM","Simon Bolivar International Airport"
"SKCN","Cravo Norte Airport"
"SKCG","Rafael Nunez International Airport"
"","Paratebueno Airport"
"","Miriti-Parana Airport"
"SKPA","Juan Jose Rondon"
"SKHC","Hato Corozal Airport"
"SKSA","Los Colonizadores Airport"
"SKCI","Carimagua Airport"
"SKNQ","Reyes Murillo Airport"
"SKPV","El Embrujo Airport"
"SKML","Montelibano Airport"
"SKUC","Santiago Perez  Quiroz Airport"
"","Casuarito Airport"
"","La Chorrera Airport"
"SKPP","Guillermo Leon Valencia Airport"
"SKSL","Santa Rosalia Airport"
"SKRA","Tarapaca Airport"
"SKRH","Almirante Padilla Airport"
"","Guerima Airport"
"SKPQ","Captain German Olano Moreno Air Base"
"SKTB","Tibu Airport"
"SKIB","Perales Airport"
"SKLT","Alfredo Vasquez Cobo International Airport"
"SKPR","Morela Airport (Puerto Berrio Airport"
"SKFL","Gustavo Artunduaga Paredes Airport"
"","La Herrera Airport"
"","Guamal Airport"
"SKRU","Las Cruces Airport"
"SKIP","San Luis Airport"
"SKGA","Las Gaviotas Airport"
"SKCA","Capurgana Airport"
"","Chibolo Airport"
"SKUR","Urrao Airport"
"SKPC","German Olano Airport"
"","Candilejas Airport"
"SKTD","Trinidad Airport"
"SKUL","Heriberto Gil Martinez"
"SKQU","Mariquita Airport"
"SKCC","Camilo Daza International Airport"
"SKAR","El Eden International Airport"
"SKIM","La Primavera Airport"
"SKUI","El Carano Airport"
"SKEB","El Bagre Airport (El Tomin Airport)"
"SKCL","Alfonso Bonilla Aragon International Airport"
"SKVP","Alfonso Lopez Pumarejo Airport"
"SKVV","La Vanguardia Airport"
"SKNC","Antioquia Airport"
"SKNA","La Macarena Airport"
"SKBM","Barranco Minas Airport"
"SKTL","Golfo de Morrosquillo Airport"
"SKOE","Orocue Airport"
"SKPN","Puerto Nare Airport"
"","Yari Airport"
"SKMZ","La Nubia Airport (Santaguida Airport)"
"SKLP","La Pedrera Airport"
"SKCO","La Florida Airport"
"","Guacamayas Airport"
"SKAS","Tres de Mayo Airport"
"","San Marcos Airport"
"SKCM","Cimitarra Airport"
"SKMD","Olaya Herrera Airport"
"SKSJ","Jorge Enrique Gonzalez Torres Airport"
"SKPI","Contador Airport"
"SKMP","San Bernardo Airport"
"SKOT","Otu Airport"
"SKAP","Captain Luis F. Gomez Nino Air Base"
"","Gilgal Airport"
"SKLC","Antonio Roldan  Betancourt Airport"
"SKBC","Las Flores Airport"
"MRMJ","Canas Mojica Airport"
"MRRF","Rio Frio Airport"
"MRBT","Tortuguero Airport (Barra de Tortuguero Airport)"
"MROC","Juan Santamaria International Airport"
"MRLM","Limon International Airport"
"MRLB","Daniel Oduber Quiros International Airport"
"MRQP","Quepos La Managua Airport"
"MRIA","Punta Islita Airport"
"MRLC","Los Chiles Airport"
"MRCH","Chacarita Airport"
"MRGF","Golfito Airport"
"MRUP","Upala Airport"
"MRGP","Guapiles Airport"
"MRCR","Carrillo Airport (Playa Samara/Carrillo Airport)"
"MRNC","Nicoya Guanacaste Airport"
"MRBA","Buenos Aires Airport"
"MRTR","Tambor Airport"
"MRPM","Palmar Sur Airport"
"MRCC","Coto 47 Airport"
"MRPJ","Puerto Jimenez Airport"
"MRSV","San Vito de Java Airport"
"MRTM","Tamarindo Airport"
"MRPV","Tobias Bolanos International Airport"
"MRNS","Nosara Airport"
"MRBC","Barra del Colorado Airport"
"MRDK","Drake Bay Airport"
"MRAN","La Fortuna Airport"
"MRSI","San Isidro de El General Airport"
"MUBR","Las Brujas Airport"
"MUNG","Rafael Cabrera Mustelier Airport"
"MUSS","Sancti Spiritus Airport"
"MUBA","Gustavo Rizo Airport"
"MUCM","Ignacio Agramonte International Airport"
"MUGM","Guantanamo Bay Naval Base"
"MUSN","Siguanea Airport"
"MUKW","Kawama Airport"
"MUMO","Orestes Acosta Airport"
"","Punta de Maisi Airport"
"MUGT","Mariana Grajales Airport"
